claim_id,book_id,book_title,chapter_title,section_title,paragraph_index,location_text,ebook_locator,claim_text,sentence_index,citation_status,citation_marker_text,citation_marker_location_text,citation_context,confidence,trigger_rule,trigger_terms,notes,verified,verifier,verification_notes
CLM-000001,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Table of Contents,,7,HughesJohnson2023-scaling-people.epub > Table of Contents >  > para 7,epub:spine=5;para=7,3. Distinguish between management and leadership,3,not_cited,,,,0.65,QUANTITATIVE,3,,,,
CLM-000013,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,Management Prerequisites Checklist,63,HughesJohnson2023-scaling-people.epub > Setting your metronome > Management Prerequisites Checklist > para 63,epub:spine=7;para=63,"□ Hold more formal performance conversations every 3, 6, or 12 months (the more rapidly your company is changing, the more often these should occur) that emphasize both the results the person achieved (or didn’t) and how the person did or did not achieve those results.",0,not_cited,,,,0.9000000000000001,NORMATIVE|QUANTITATIVE|GENERALIZATION,should|3|often,,,,
CLM-000014,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,Management Prerequisites Checklist,72,HughesJohnson2023-scaling-people.epub > Setting your metronome > Management Prerequisites Checklist > para 72,epub:spine=7;para=72,□ Have 1:1s on a regular cadence with your own manager.,2,not_cited,,,,0.65,QUANTITATIVE,1,,,,
CLM-000015,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Setting your metronome,Management Prerequisites Checklist,75,HughesJohnson2023-scaling-people.epub > Setting your metronome > Management Prerequisites Checklist > para 75,epub:spine=7;para=75,□ Have 1:1s on a regular cadence with your own manager.,0,not_cited,,,,0.65,QUANTITATIVE,1,,,,
CLM-000016,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,,0,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness >  > para 0,epub:spine=9;para=0,"Maybe you believe that no decision should be made without data, so you require all of your teams to conduct experiments with measurable results before they make major decisions.",2,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000017,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,1. Build self-awareness to build mutual awareness,11,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 1. Build self-awareness to build mutual awareness > para 11,epub:spine=9;para=11,"By starting with yourself, you can create an environment in which everyone is self-aware—which, in turn, leads to mutual awareness among team members.",2,not_cited,,,,0.75,CAUSAL,leads to,,,,
CLM-000018,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,Understand your values,20,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > Understand your values > para 20,epub:spine=9;para=20,"By building self-awareness, he was able to contribute to the dynamic of mutual awareness that makes managers—and their reports, teams, and divisions—work successfully.",2,not_cited,,,,0.75,CAUSAL,contribute to,,,,
CLM-000019,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,"Collaborator (introverted, people-oriented)",31,"HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > Collaborator (introverted, people-oriented) > para 31",epub:spine=9;para=31,"For example, you might end up with a process that allows everyone on a team to meet a job candidate, but the time in process for that candidate might be 90 days.",4,not_cited,,,,0.65,QUANTITATIVE,90 ,,,,
CLM-000020,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,"Collaborator (introverted, people-oriented)",32,"HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > Collaborator (introverted, people-oriented) > para 32",epub:spine=9;para=32,"If you’re trying to build a planning process that enables you to decide what teams are going to work on for the next year, you probably want to build something that will endure and help people understand the importance of the work.",5,not_cited,,,,0.75,CAUSAL,enables,,,,
CLM-000021,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,The self-awareness assessment,53,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > The self-awareness assessment > para 53,epub:spine=9;para=53,"You often feel frustrated and annoyed because you don’t agree with your team’s direction or decisions, and it feels like your colleagues don’t understand what you’re trying to convey when you explain why.",0,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000022,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,The self-awareness assessment,58,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > The self-awareness assessment > para 58,epub:spine=9;para=58,And you can’t manage people and teams effectively as your company grows if you don’t know yourself and what you contribute to the environment you operate in.,2,not_cited,,,,0.75,CAUSAL,contribute to,,,,
CLM-000023,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,2. Say the thing you think you cannot say,65,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 2. Say the thing you think you cannot say > para 65,epub:spine=9;para=65,"People often think that good management is about having a lot of filters, and for good reason.",0,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000024,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,Separate the person from the idea or task,77,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > Separate the person from the idea or task > para 77,epub:spine=9;para=77,"There’s a reason Kim Scott’s book Radical Candor 14 made such a splash: That kind of open, caring communication is the foundation for the highest-functioning people, teams, and workplaces.",5,not_cited,,,,0.65,QUANTITATIVE,14 ,,,,
CLM-000025,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,3. Distinguish between management and leadership,86,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 3. Distinguish between management and leadership > para 86,epub:spine=9;para=86,"I often refer to a framework in The Practice of Adaptive Leadership by Ronald Heifetz, Alexander Grashow, and Marty Linsky that evaluates technical versus adaptive problems.",1,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000026,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,3. Distinguish between management and leadership,87,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 3. Distinguish between management and leadership > para 87,epub:spine=9;para=87,But great leadership often requires a person to be disagreeable and demand more.,4,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000027,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,3. Distinguish between management and leadership,88,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 3. Distinguish between management and leadership > para 88,epub:spine=9;para=88,"“Management has a lot to do with whether we’re playing the game well, we’re developing the tools, we know what the dashboard looks like, we’re paying attention to the dashboard, and so on. Leadership has a lot to do with how you set the spirit of the organization. To some degree, it could be how big the goal is and what the goal is. But usually, it’s a goal that’s set in a way that isn’t necessarily operationalized well. Management is how you get the mechanics of the pieces coming together. And leadership is more [about creating] a culture or energy of engagement—belief in the importance of winning. It’s that ‘We can do this’ energy.” — Reid Hoffman , partner, Greylock Partners, cofounder and former executive chairman, LinkedIn",0,not_cited,,,,0.65,GENERALIZATION,usually,,,,
CLM-000028,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,3. Distinguish between management and leadership,94,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 3. Distinguish between management and leadership > para 94,epub:spine=9;para=94,"Marty Linsky, one of the authors of the book The Practice of Adaptive Leadership , has a saying that I’ve repeated often to colleagues and direct reports: Leadership is disappointing people at a rate they can absorb.",0,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000029,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,3. Distinguish between management and leadership,94,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 3. Distinguish between management and leadership > para 94,epub:spine=9;para=94,This means that you and your teams must abandon the stable and familiar in favor of an uncertain—but exciting—new direction.,3,not_cited,,,,0.8,NORMATIVE,must,,,,
CLM-000030,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,3. Distinguish between management and leadership,95,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 3. Distinguish between management and leadership > para 95,epub:spine=9;para=95,"But they’ll look to a leader to lay out the overarching vision and the milestones they should be working toward, and to pave the way for progress within the systems that operate outside of the team.",2,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000031,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,4. Come back to your operating system,100,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > 4. Come back to your operating system > para 100,epub:spine=9;para=100,"Your system, like mine, will be based on how you hire and develop your team and the rhythms of how you operate: quarterly goals, metrics review meetings on Mondays, team meetings on Tuesdays, weekly 1:1s, offsites for big-picture thinking, and so on.",0,not_cited,,,,0.65,QUANTITATIVE,1,,,,
CLM-000032,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,1. Build self-awareness to build mutual awareness,Notes,135,HughesJohnson2023-scaling-people.epub > 1. Build self-awareness to build mutual awareness > Notes > para 135,epub:spine=9;para=135,"15. Ronald Heifetz et al., The Practice of Adaptive Leadership: Tools and Tactics for Changing Your Organization and the World (Boston: Harvard Business Press, 2009), 19–23.",0,cited,"(Boston: Harvard Business Press, 2009)",same_sentence,"15. Ronald Heifetz et al., The Practice of Adaptive Leadership: Tools and Tactics for Changing Your Organization and the World (Boston: Harvard Business Press, 2009), 19–23.",0.65,QUANTITATIVE,15,,,,
CLM-000033,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Founding documents,5,HughesJohnson2023-scaling-people.epub > Founding documents > Founding documents > para 5,epub:spine=11;para=5,"Founding documents should include a mission, long-term goals, principles (often called values), and team charters.",0,not_cited,,,,0.8500000000000001,NORMATIVE|GENERALIZATION,should|often,,,,
CLM-000034,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Mission,15,HughesJohnson2023-scaling-people.epub > Founding documents > Mission > para 15,epub:spine=11;para=15,"Every part of the stack—the team, the division, and the company—should have a mission.",0,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000035,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Mission,15,HughesJohnson2023-scaling-people.epub > Founding documents > Mission > para 15,epub:spine=11;para=15,"A team’s mission should ladder up to the division’s mission, and the division’s mission should ladder up to the company’s mission.",1,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000036,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Mission,17,HughesJohnson2023-scaling-people.epub > Founding documents > Mission > para 17,epub:spine=11;para=17,"Design : Define, create, and deliver all user-facing aspects of the Stripe brand and product by creating well-functioning, beautiful products and experiences that users love and are eager to recommend to others.",0,not_cited,,,,0.8,NORMATIVE,recommend,,,,
CLM-000037,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Mission,23,HughesJohnson2023-scaling-people.epub > Founding documents > Mission > para 23,epub:spine=11;para=23,"What’s key for individuals is that they know how their work contributes to the team, then to the division, and finally to the company.",1,not_cited,,,,0.75,CAUSAL,contributes to,,,,
CLM-000038,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Team charters,60,HughesJohnson2023-scaling-people.epub > Founding documents > Team charters > para 60,epub:spine=11;para=60,I recommend that teams create an additional founding document: a team charter.,0,not_cited,,,,0.8,NORMATIVE,recommend,,,,
CLM-000039,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Team charters,60,HughesJohnson2023-scaling-people.epub > Founding documents > Team charters > para 60,epub:spine=11;para=60,"Team missions will follow and support the company mission and values, and they’re generally one or two sentences long.",1,not_cited,,,,0.65,GENERALIZATION,generally,,,,
CLM-000040,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Team charters,60,HughesJohnson2023-scaling-people.epub > Founding documents > Team charters > para 60,epub:spine=11;para=60,"A team charter is a longer document, maybe a page long, that should create clarity about the team’s purpose.",3,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000041,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Team charters,60,HughesJohnson2023-scaling-people.epub > Founding documents > Team charters > para 60,epub:spine=11;para=60,It should articulate to team members and others within the company why the team exists and what their long-term goals are.,4,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000042,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Team charters,62,HughesJohnson2023-scaling-people.epub > Founding documents > Team charters > para 62,epub:spine=11;para=62,"A team mission and charter should sit somewhere discoverable, ideally on your shared intranet.",0,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000043,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Team charters,62,HughesJohnson2023-scaling-people.epub > Founding documents > Team charters > para 62,epub:spine=11;para=62,"Together, the mission and charter should provide a clear description of what each team does (for example, “produce data insights that help provide better outcomes for users”), explain why the work matters to the company, and share key metrics and major risks and dependencies.",2,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000044,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Team charters,62,HughesJohnson2023-scaling-people.epub > Founding documents > Team charters > para 62,epub:spine=11;para=62,See the chapter appendix on page 114 for a team charter template with some example text.,5,not_cited,,,,0.65,QUANTITATIVE,114 ,,,,
CLM-000045,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,The operating system,67,HughesJohnson2023-scaling-people.epub > Founding documents > The operating system > para 67,epub:spine=11;para=67,"21 Because they were taken seriously at the leadership level and flowed down to teams and individuals, they formed an extremely effective operating system, providing transparency around what was most important to the company and forcing the resolution of dependencies across teams.",1,not_cited,,,,0.65,QUANTITATIVE,21 ,,,,
CLM-000046,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,The operating system,68,HughesJohnson2023-scaling-people.epub > Founding documents > The operating system > para 68,epub:spine=11;para=68,"In these environments, there’s often a lot of confusion about who is doing what, and about which goals a team is accountable for and which stakeholders they’re accountable to.",1,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000047,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Strategic and financial planning,111,HughesJohnson2023-scaling-people.epub > Founding documents > Strategic and financial planning > para 111,epub:spine=11;para=111,They can thus outline goals and plans that enable various component teams to achieve those goals.,1,not_cited,,,,0.75,CAUSAL,enable,,,,
CLM-000048,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Strategic and financial planning,115,HughesJohnson2023-scaling-people.epub > Founding documents > Strategic and financial planning > para 115,epub:spine=11;para=115,"Teams and companies will use different systems for doing this, but the plan should be a way for a team to say, “This is where we’re going long-term”—linking out to the long-term strategic themes and rough financial objectives—“and, on a quarterly basis, this is where we’re focusing to move our most important metrics.”",1,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000049,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Resource allocation,118,HughesJohnson2023-scaling-people.epub > Founding documents > Resource allocation > para 118,epub:spine=11;para=118,"One tactic to allocate headcount is to look at the ratio of functions—for example, 10 engineers to 1 product manager, or 1 human resource business partner to 250 employees.",2,not_cited,,,,0.65,QUANTITATIVE,10 ,,,,
CLM-000050,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Resource allocation,118,HughesJohnson2023-scaling-people.epub > Founding documents > Resource allocation > para 118,epub:spine=11;para=118,"They also don’t account for potential efficiency gains in ratios over time, nor for the fact that you generally want to award more resources based on impact, not on how many people are on the team.",4,not_cited,,,,0.65,GENERALIZATION,generally,,,,
CLM-000051,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Resource allocation,122,HughesJohnson2023-scaling-people.epub > Founding documents > Resource allocation > para 122,epub:spine=11;para=122,"Phase I : Small, scrappy developer teams work in a shared codebase, moving quickly but often taking on technical debt to ship new features or products.",0,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000052,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Investing in developer productivity,141,HughesJohnson2023-scaling-people.epub > Founding documents > Investing in developer productivity > para 141,epub:spine=11;para=141,"They can cause challenges for recruiting, however, because the team will have a less accurate forecast against which to build a talent pipeline.",5,not_cited,,,,0.75,CAUSAL,cause,,,,
CLM-000053,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Investing in developer productivity,142,HughesJohnson2023-scaling-people.epub > Founding documents > Investing in developer productivity > para 142,epub:spine=11;para=142,"Leadership should publicly celebrate managers who are actively improving their operational efficiency, for example by coming in under budget at the end of the fiscal year or “giving back” headcount allocation.",1,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000054,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Setting expectations around resource allocation,145,HughesJohnson2023-scaling-people.epub > Founding documents > Setting expectations around resource allocation > para 145,epub:spine=11;para=145,"In this case, I advised the founder to tell the leadership team that he expected them all to keep the big picture in mind—what was best for the company, not for their individual teams—and to collaborate to reach a final decision, work constructively across teams to find opportunities for efficiency, and, more generally, to show up as a team in order to lead the company.",2,not_cited,,,,0.65,GENERALIZATION,generally,,,,
CLM-000055,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Setting expectations around resource allocation,149,HughesJohnson2023-scaling-people.epub > Founding documents > Setting expectations around resource allocation > para 149,epub:spine=11;para=149,A side note related to existential risks: A key role of your leadership team should be to invest in critical work that no one else will naturally step up to prioritize.,0,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000056,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Setting expectations around resource allocation,150,HughesJohnson2023-scaling-people.epub > Founding documents > Setting expectations around resource allocation > para 150,epub:spine=11;para=150,"“One of my favorite books is by former Intel CEO Andy Grove, Only the Paranoid Survive . 26 We are very paranoid. We always think about ‘What if you have 10 times more capacity or 10 times [more] usage? Can you survive? Do you have any security or reliability or performance holes?’ My number one priority as a CEO is to think about what kinds of risk factors we need to focus on. When I realized that, I told our team transparently that I had made a mistake: ‘I used to only be focused on the culture, value, product. But now I think that’s not right. My number one priority is to think about the risk factors.’” — Eric Yuan , founder and CEO, Zoom",0,not_cited,,,,0.7000000000000001,QUANTITATIVE|GENERALIZATION,26 |always,,,,
CLM-000057,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Setting expectations around resource allocation,151,HughesJohnson2023-scaling-people.epub > Founding documents > Setting expectations around resource allocation > para 151,epub:spine=11;para=151,We always think about ‘What if you have 10 times more capacity or 10 times [more] usage? Can you survive? Do you have any security or reliability or performance holes?’,2,not_cited,,,,0.7000000000000001,QUANTITATIVE|GENERALIZATION,10 |always,,,,
CLM-000058,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Annual and quarterly goals,154,HughesJohnson2023-scaling-people.epub > Founding documents > Annual and quarterly goals > para 154,epub:spine=11;para=154,"For example, the Microsoft team that developed the first GUI for Microsoft Windows probably had to do so in time for a public demo in November 1983.",2,not_cited,,,,0.65,QUANTITATIVE,1983,,,,
CLM-000059,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Annual and quarterly goals,157,HughesJohnson2023-scaling-people.epub > Founding documents > Annual and quarterly goals > para 157,epub:spine=11;para=157,"Every team should remain at up to 80 percent on the security posture dashboard, which will often require adopting new tooling and infrastructure.",1,not_cited,,,,0.9000000000000001,NORMATIVE|QUANTITATIVE|GENERALIZATION,should|80 |often,,,,
CLM-000060,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Annual and quarterly goals,160,HughesJohnson2023-scaling-people.epub > Founding documents > Annual and quarterly goals > para 160,epub:spine=11;para=160,"Ongoing improvement : Every team achieves up to 80 percent on the security posture dashboard by the end of the quarter, which requires adopting the new infrastructure.",0,not_cited,,,,0.65,QUANTITATIVE,80 ,,,,
CLM-000061,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,What good goals look like,175,HughesJohnson2023-scaling-people.epub > Founding documents > What good goals look like > para 175,epub:spine=11;para=175,Everyone on the team should be able to easily memorize the team’s goals.,2,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000062,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,What good goals look like,177,HughesJohnson2023-scaling-people.epub > Founding documents > What good goals look like > para 177,epub:spine=11;para=177,O bjectively assessable : Everyone on the team should have the same understanding of what success looks like and what it doesn’t.,0,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000063,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,What good goals look like,178,HughesJohnson2023-scaling-people.epub > Founding documents > What good goals look like > para 178,epub:spine=11;para=178,"Your goals should also stretch the team, inspiring and challenging people.",2,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000064,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,What good goals look like,178,HughesJohnson2023-scaling-people.epub > Founding documents > What good goals look like > para 178,epub:spine=11;para=178,"If you ask your team to stretch, you’ll often discover that they find ways to deliver more than you expect.",3,not_cited,,,,0.75,COMPARATIVE|GENERALIZATION,more than|often,,,,
CLM-000065,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,What good goals look like,179,HughesJohnson2023-scaling-people.epub > Founding documents > What good goals look like > para 179,epub:spine=11;para=179,"U ser-oriented : Never organize team goals by function (engineering, design, etc.).",0,not_cited,,,,0.65,GENERALIZATION,Never,,,,
CLM-000066,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,How do you manage against the goals?,191,HughesJohnson2023-scaling-people.epub > Founding documents > How do you manage against the goals? > para 191,epub:spine=11;para=191,"If you set good goals and have real buy-in, then the whole team should have a set of shared goals you can use as a foundation.",0,not_cited,,,,0.8,NORMATIVE,should,,,,
CLM-000067,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,How do you score goals?,192,HughesJohnson2023-scaling-people.epub > Founding documents > How do you score goals? > para 192,epub:spine=11;para=192,"If the reviews require a lot of effort or feel like they need to be done more often, then your team probably hasn’t fully internalized the goals and isn’t using them to guide day-to-day activities.",3,not_cited,,,,0.65,GENERALIZATION,often,,,,
CLM-000068,482c3997dafdb61f88a0bc98b379636c5997b59f,Scaling People,Founding documents,Why “goals” and not “OKRs”?,206,HughesJohnson2023-scaling-people.epub > Founding documents > Why “goals” and not “OKRs”? > para 206,epub:spine=11;para=206,"As Andy Grove, the forefather of “managing by objective,” framed it in High Output Management , OKRs separate out two key questions: 27",3,not_cited,,,,0.65,QUANTITATIVE,27,,,,
