# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
q_number,claim_id,claim_type,book,survey_text,bucket,full_sample_n,directional_denominator,idk_n,idk_rate_pct,pct_agree,pct_disagree,pct_neutral,majority_direction,belief_label,bucket_reason,freq_1,freq_2,freq_3,freq_4,freq_5,bimodal,evidence_label,evidence_strength,verdict_status,belief_evidence_mismatch,mismatch_kind,in_matrix,experience_group_1_n,experience_group_2_n,experience_group_1_median,experience_group_2_median,mannwhitney_u,mannwhitney_p_raw,mannwhitney_p_corrected,significant_after_correction,effect_size,effect_magnitude,experience_not_tested_reason,role_breakdown,n_comments
11,CLM-000060,GENERALIZATION,Software Durability Concepts and Practices,Quality is an essential aspect of software that contributes to its long-term durability.,clear_direction,751,732,19,2.53,93.72,3.14,3.14,agreed,Majority agreed,"93.7% of the 732 directional answers agreed, above the 50% threshold",8,15,23,227,459,False,SUPPORTED,,match,False,,True,147,585,5.0,5.0,43372.0,0.8478714159741491,0.9420793510823878,False,,,,"Developer: n=342, 94% agree, 3% disagree | Tech lead: n=145, 94% agree, 3% disagree | Architect: n=72, 97% agree, 1% disagree | Other: n=59, 93% agree, 5% disagree | Engineering manager: n=43, 93% agree, 2% disagree | Researcher: n=36, 89% agree, 8% disagree | Consultant: n=33, 91% agree, 6% disagree | (not recorded): n=2, 100% agree, 0% disagree",90
12,CLM-000073,GENERALIZATION,Software Durability Concepts and Practices,Most companies focus primarily on faster development and set deadlines without properly estimating software durability.,clear_direction,751,698,53,7.06,88.83,2.58,8.6,agreed,Majority agreed,"88.8% of the 698 directional answers agreed, above the 50% threshold",6,12,60,350,270,False,SUPPORTED,,match,False,,True,137,561,4.0,4.0,39379.5,0.6188502124449416,0.8987983960341087,False,,,,"Developer: n=325, 91% agree, 3% disagree | Tech lead: n=140, 91% agree, 2% disagree | Architect: n=69, 86% agree, 1% disagree | Other: n=54, 85% agree, 0% disagree | Engineering manager: n=42, 81% agree, 5% disagree | Researcher: n=35, 80% agree, 6% disagree | Consultant: n=31, 87% agree, 3% disagree | (not recorded): n=2, 100% agree, 0% disagree",66
13,CLM-000194,NORMATIVE,"Secure, Resilient, and Agile Software Development","Organizations adopting static application security testing (SAST) tools should have dedicated staff within Scrum teams responsible for this work, appoint security champions to liaise with the security team, and ensure enough security staff are available to train developers on secure development practices and proper tool use.",idk_dominant,751,483,268,35.69,,,,,,"35.7% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",33,82,139,193,36,False,,,excluded,False,,False,91,392,4.0,3.0,21210.5,0.003137049224201908,0.03921311530252385,True,0.1892,small,,,174
14,CLM-000026,GENERALIZATION,Software Testing 2020,Functionality remains the key factor in determining a product's success.,mixed,751,727,24,3.2,40.85,40.17,18.98,none,,"neither side passed 50%: 40.9% agreed, 40.2% disagreed, 19.0% neutral (neutral counts toward the denominator but toward neither side)",74,218,138,230,67,True,,,excluded,False,,False,149,578,4.0,3.0,50151.5,0.0013192187957432322,0.021986979929053872,True,0.1647,small,,,172
15,CLM-000085,GENERALIZATION,Effective Methods for Software Engineering,Improving quality assurance can be a simple process based on common sense and a straightforward logical approach to fulfilling software engineering responsibilities.,clear_direction,751,654,97,12.92,50.31,29.2,20.49,agreed,Majority agreed,"50.3% of the 654 directional answers agreed, above the 50% threshold",38,153,134,288,41,False,CONTRADICTED,,mismatch,True,"a majority agreed, but the evidence contradicts the claim",True,129,525,4.0,3.0,37292.5,0.059050629072350966,0.22711780412442678,False,,,,"Developer: n=299, 50% agree, 27% disagree | Tech lead: n=135, 49% agree, 32% disagree | Architect: n=66, 55% agree, 33% disagree | Other: n=52, 56% agree, 21% disagree | Engineering manager: n=37, 46% agree, 35% disagree | Researcher: n=33, 48% agree, 33% disagree | Consultant: n=30, 50% agree, 30% disagree | (not recorded): n=2, 50% agree, 0% disagree",124
16,CLM-000459,QUANTITATIVE,A Guide to Selecting Software Measures and Metrics,"Testing on its own, without pretest defect removal, is expensive and rarely exceeds 85 percent in defect removal efficiency.",idk_dominant,751,400,351,46.74,,,,,,"46.7% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",19,94,149,118,20,False,,,excluded,False,,False,64,336,3.0,3.0,11027.0,0.7341888296322874,0.9177360370403592,False,,,,,122
17,CLM-000100,GENERALIZATION,Software Quality Assurance,Testing tools that link requirements to test cases typically do so by connecting requirement IDs with test IDs.,idk_dominant,751,351,400,53.26,,,,,,"53.3% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",15,40,116,162,18,False,,,excluded,False,,False,53,298,3.0,4.0,8059.5,0.7978981040406381,0.9264610060862619,False,,,,,81
18,CLM-000147,NORMATIVE,Software Quality Assurance,"Drawing a diagram of linked, sequentially timed events and their causal relationships helps demonstrate how an incident occurred.",clear_direction,751,710,41,5.46,78.03,4.08,17.89,agreed,Majority agreed,"78.0% of the 710 directional answers agreed, above the 50% threshold",12,17,127,454,100,False,SUPPORTED,,match,False,,True,142,568,4.0,4.0,43983.0,0.050395585804289995,0.22711780412442678,False,,,,"Developer: n=330, 79% agree, 4% disagree | Tech lead: n=145, 78% agree, 3% disagree | Architect: n=70, 77% agree, 4% disagree | Other: n=58, 81% agree, 2% disagree | Engineering manager: n=42, 69% agree, 7% disagree | Researcher: n=31, 74% agree, 3% disagree | Consultant: n=32, 78% agree, 6% disagree | (not recorded): n=2, 100% agree, 0% disagree",93
19,CLM-000115,GENERALIZATION,DevOps for Data Science,Organizations that sell software often want to limit the use of specific free and open source software (FOSS) licenses in their environment.,mixed,751,645,106,14.11,46.36,30.7,22.95,none,,"neither side passed 50%: 46.4% agreed, 30.7% disagreed, 22.9% neutral (neutral counts toward the denominator but toward neither side)",55,143,148,205,94,False,,,excluded,False,,False,131,514,3.0,3.0,34099.0,0.8152856853559105,0.9264610060862619,False,,,,,126
20,CLM-000224,NORMATIVE,Client-Centered Software Development; The CO-FOSS Approach,"A domain analysis should describe how the current application works, including any existing software used to support it.",idk_dominant,751,480,271,36.09,,,,,,"36.1% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",11,23,62,319,65,False,,,excluded,False,,False,97,383,4.0,4.0,20164.5,0.12019424672223977,0.30048561680559943,False,,,,,53
21,CLM-000470,QUANTITATIVE,Software Development Patterns and Antipatterns,"After initial development, software applications continue to grow in size by roughly 8 percent per year.",idk_dominant,751,500,251,33.42,,,,,,"33.4% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",32,90,270,98,10,False,,,excluded,False,,False,98,402,3.0,3.0,20234.0,0.6465077463106301,0.8987983960341087,False,,,,,163
22,CLM-000015,NORMATIVE,Software Quality Assurance,"Software or code inspection should not be confused with code review or walkthrough, which is typically completed in a single meeting lasting a couple of hours.",idk_dominant,751,517,234,31.16,,,,,,"31.2% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",48,103,119,208,39,False,,,excluded,False,,False,101,416,4.0,3.0,21540.0,0.6796726676511122,0.8987983960341087,False,,,,,118
23,CLM-000223,NORMATIVE,What Every Engineer Should Know about Software Engineering,Coding standards should not be adopted partway through a project.,clear_direction,751,730,21,2.8,22.33,60.0,17.67,disagreed,Majority disagreed,"60.0% of the 730 directional answers disagreed, above the 50% threshold",123,315,129,115,48,False,NO EVIDENCE FOUND,,not_scored,False,,True,147,583,2.0,2.0,43685.5,0.7010627489066048,0.8987983960341087,False,,,,"Developer: n=345, 21% agree, 61% disagree | Tech lead: n=145, 23% agree, 63% disagree | Architect: n=72, 19% agree, 57% disagree | Other: n=58, 28% agree, 47% disagree | Engineering manager: n=42, 21% agree, 64% disagree | Researcher: n=34, 35% agree, 56% disagree | Consultant: n=32, 22% agree, 66% disagree | (not recorded): n=2, 0% agree, 100% disagree",227
24,CLM-000045,CAUSAL,A Guide to Software Quality Engineering; 1,Quality Assurance activities ensure that software products and processes meet defined quality standards.,clear_direction,751,708,43,5.73,61.86,18.08,20.06,agreed,Majority agreed,"61.9% of the 708 directional answers agreed, above the 50% threshold",21,107,142,369,69,False,CONTRADICTED,,mismatch,True,"a majority agreed, but the evidence contradicts the claim",True,143,565,4.0,4.0,45437.5,0.012149424105419549,0.08678160075299676,False,,,,"Developer: n=331, 65% agree, 17% disagree | Tech lead: n=141, 58% agree, 21% disagree | Architect: n=67, 66% agree, 15% disagree | Other: n=57, 49% agree, 18% disagree | Engineering manager: n=43, 60% agree, 21% disagree | Researcher: n=35, 66% agree, 17% disagree | Consultant: n=32, 56% agree, 25% disagree | (not recorded): n=2, 100% agree, 0% disagree",120
25,CLM-000087,NORMATIVE,Effective Methods for Software Engineering,Making discipline a habit helps software team members meet the knowledge and skill expectations set by management.,clear_direction,751,566,185,24.63,53.0,26.15,20.85,agreed,Majority agreed,"53.0% of the 566 directional answers agreed, above the 50% threshold",39,109,118,250,50,False,NO EVIDENCE FOUND,,not_scored,False,,True,110,456,4.0,4.0,27604.0,0.08343410757365562,0.23176140992682118,False,,,,"Developer: n=256, 50% agree, 29% disagree | Tech lead: n=122, 60% agree, 19% disagree | Architect: n=52, 56% agree, 19% disagree | Other: n=42, 62% agree, 19% disagree | Engineering manager: n=35, 51% agree, 31% disagree | Researcher: n=28, 32% agree, 57% disagree | Consultant: n=29, 55% agree, 24% disagree | (not recorded): n=2, 50% agree, 0% disagree",133
26,CLM-000178,CAUSAL,Software Development Patterns and Antipatterns,"Cost per defect increases as software quality improves, which contradicts the assumptions behind standard economic measures of quality.",idk_dominant,751,519,232,30.89,,,,,,"30.9% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",53,170,128,148,20,False,,,excluded,False,,False,98,421,3.0,3.0,21910.0,0.3195223015319679,0.5917079657999406,False,,,,,135
27,CLM-000269,NORMATIVE,Client-Centered Software Development; The CO-FOSS Approach,Functions that restrict a value to a fixed set of valid options should be tested with both valid and invalid inputs to confirm the restriction works.,clear_direction,751,727,24,3.2,93.54,2.34,4.13,agreed,Majority agreed,"93.5% of the 727 directional answers agreed, above the 50% threshold",5,12,30,262,418,False,SUPPORTED,,match,False,,True,147,580,5.0,5.0,44874.0,0.25877800275396745,0.5391208390707656,False,,,,"Developer: n=337, 94% agree, 2% disagree | Tech lead: n=147, 94% agree, 2% disagree | Architect: n=71, 89% agree, 4% disagree | Other: n=59, 92% agree, 2% disagree | Engineering manager: n=42, 95% agree, 0% disagree | Researcher: n=36, 97% agree, 3% disagree | Consultant: n=33, 94% agree, 6% disagree | (not recorded): n=2, 100% agree, 0% disagree",88
28,CLM-000238,QUANTITATIVE,Software Quality Assurance,"Only about 20 percent of design code is typically reused in practice, well below an ideal reuse rate of around 75 percent.",idk_dominant,751,426,325,43.28,,,,,,"43.3% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",24,57,152,153,40,False,,,excluded,False,,False,89,337,3.0,3.0,15130.0,0.8923420322493004,0.9699369915753265,False,,,,,159
29,CLM-000361,GENERALIZATION,A Guide to Selecting Software Measures and Metrics,Production rate is often paired with assignment scope to produce software cost and schedule estimates for specific activities.,idk_dominant,751,285,466,62.05,,,,,,"62.1% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",16,33,96,132,8,False,,,excluded,False,,False,57,228,4.0,3.0,7121.5,0.22758067922227965,0.49474060700495576,False,,,,,78
30,CLM-000450,QUANTITATIVE,Software Development Patterns and Antipatterns,"Bad-fix injection rates, defects introduced while fixing other defects, are often higher than 20 percent when modifying high-complexity applications.",clear_direction,751,588,163,21.7,64.46,12.24,23.3,agreed,Majority agreed,"64.5% of the 588 directional answers agreed, above the 50% threshold",11,61,137,288,91,False,NO EVIDENCE FOUND,,not_scored,False,,True,121,467,4.0,4.0,28927.5,0.6636958085190672,0.8987983960341087,False,,,,"Developer: n=287, 63% agree, 12% disagree | Tech lead: n=120, 64% agree, 14% disagree | Architect: n=58, 67% agree, 7% disagree | Other: n=37, 54% agree, 16% disagree | Engineering manager: n=33, 82% agree, 9% disagree | Researcher: n=25, 68% agree, 12% disagree | Consultant: n=26, 65% agree, 19% disagree | (not recorded): n=2, 100% agree, 0% disagree",104
31,CLM-000142,CAUSAL,A Guide to Software Quality Engineering; 1,Using automated testing frameworks integrated into a CI/CD pipeline enables efficient and reliable test execution on every code commit.,clear_direction,751,719,32,4.26,82.48,7.37,10.15,agreed,Majority agreed,"82.5% of the 719 directional answers agreed, above the 50% threshold",10,43,73,342,251,False,SUPPORTED,,match,False,,True,143,576,4.0,4.0,43353.0,0.28964039643585715,0.560418486907191,False,,,,"Developer: n=337, 86% agree, 6% disagree | Tech lead: n=148, 74% agree, 11% disagree | Architect: n=71, 79% agree, 11% disagree | Other: n=55, 80% agree, 5% disagree | Engineering manager: n=42, 83% agree, 10% disagree | Researcher: n=33, 85% agree, 6% disagree | Consultant: n=31, 90% agree, 0% disagree | (not recorded): n=2, 100% agree, 0% disagree",120
32,CLM-000496,GENERALIZATION,Software Development Patterns and Antipatterns,"Large software projects are frequently canceled, and most run late and exceed their budgets.",clear_direction,751,654,97,12.92,69.88,10.55,19.57,agreed,Majority agreed,"69.9% of the 654 directional answers agreed, above the 50% threshold",9,60,128,324,133,False,CONTRADICTED,,mismatch,True,"a majority agreed, but the evidence contradicts the claim",True,130,524,4.0,4.0,33184.0,0.6247661814512496,0.8987983960341087,False,,,,"Developer: n=306, 71% agree, 9% disagree | Tech lead: n=130, 72% agree, 10% disagree | Architect: n=67, 73% agree, 7% disagree | Other: n=50, 60% agree, 16% disagree | Engineering manager: n=40, 68% agree, 18% disagree | Researcher: n=29, 66% agree, 7% disagree | Consultant: n=30, 67% agree, 17% disagree | (not recorded): n=2, 100% agree, 0% disagree",87
33,CLM-000169,GENERALIZATION,Software Durability Concepts and Practices,Trustworthiness is always a key factor in software usability and durability.,clear_direction,751,647,104,13.85,75.43,10.82,13.76,agreed,Majority agreed,"75.4% of the 647 directional answers agreed, above the 50% threshold",16,54,89,344,144,False,CONTRADICTED,,mismatch,True,"a majority agreed, but the evidence contradicts the claim",True,138,509,4.0,4.0,39104.0,0.02527712559551068,0.1379433581746352,False,,,,"Developer: n=304, 74% agree, 12% disagree | Tech lead: n=132, 77% agree, 11% disagree | Architect: n=56, 86% agree, 4% disagree | Other: n=55, 78% agree, 5% disagree | Engineering manager: n=37, 70% agree, 8% disagree | Researcher: n=32, 72% agree, 16% disagree | Consultant: n=29, 69% agree, 17% disagree | (not recorded): n=2, 100% agree, 0% disagree",68
34,CLM-000036,QUANTITATIVE,DevOps for Data Science,About 95 percent of the API endpoints used in data science work are GET and POST requests.,idk_dominant,751,464,287,38.22,,,,,,"38.2% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",6,21,95,220,122,False,,,excluded,False,,False,98,366,4.0,4.0,20935.0,0.006256243820692384,0.05213536517243653,False,,,,,97
35,CLM-000210,CAUSAL,What Every Engineer Should Know about Software Engineering,Leaving hooks in code for possible future use leads to testing anomalies and possible unreachable code.,clear_direction,751,681,70,9.32,56.24,16.59,27.17,agreed,Majority agreed,"56.2% of the 681 directional answers agreed, above the 50% threshold",15,98,185,315,68,False,NO EVIDENCE FOUND,,not_scored,False,,True,129,552,4.0,4.0,35800.5,0.9171395281594705,0.9728491033484499,False,,,,"Developer: n=318, 58% agree, 18% disagree | Tech lead: n=140, 56% agree, 10% disagree | Architect: n=68, 47% agree, 25% disagree | Other: n=47, 51% agree, 19% disagree | Engineering manager: n=42, 64% agree, 14% disagree | Researcher: n=31, 48% agree, 23% disagree | Consultant: n=33, 61% agree, 9% disagree | (not recorded): n=2, 50% agree, 50% disagree",78
36,CLM-000581,NORMATIVE,Software Durability Concepts and Practices,Software applications must meet durability criteria to be successful.,mixed,751,669,82,10.92,40.66,39.91,19.43,none,,"neither side passed 50%: 40.7% agreed, 39.9% disagreed, 19.4% neutral (neutral counts toward the denominator but toward neither side)",75,192,130,229,43,True,,,excluded,False,,False,133,536,3.0,3.0,39321.0,0.055653525235721375,0.22711780412442678,False,,,,,125
37,CLM-000242,GENERALIZATION,Software Development Patterns and Antipatterns,"It is technically possible to build some software applications from standard, reusable components.",clear_direction,751,724,27,3.6,89.5,5.52,4.97,agreed,Majority agreed,"89.5% of the 724 directional answers agreed, above the 50% threshold",5,35,36,443,205,False,SUPPORTED,,match,False,,True,149,575,4.0,4.0,46397.0,0.0704904430532329,0.22829586107873603,False,,,,"Developer: n=339, 89% agree, 6% disagree | Tech lead: n=142, 89% agree, 8% disagree | Architect: n=71, 96% agree, 0% disagree | Other: n=59, 88% agree, 7% disagree | Engineering manager: n=42, 93% agree, 2% disagree | Researcher: n=36, 86% agree, 3% disagree | Consultant: n=33, 82% agree, 9% disagree | (not recorded): n=2, 100% agree, 0% disagree",91
38,CLM-000199,NORMATIVE,What Every Engineer Should Know about Software Engineering,Licensing issues need to be well understood and managed when using open source software in an end product.,clear_direction,751,738,13,1.73,92.01,3.79,4.2,agreed,Majority agreed,"92.0% of the 738 directional answers agreed, above the 50% threshold",7,21,31,338,341,False,SUPPORTED,,match,False,,True,149,589,4.0,4.0,43809.0,0.9728491033484499,0.9728491033484499,False,,,,"Developer: n=345, 91% agree, 4% disagree | Tech lead: n=148, 94% agree, 3% disagree | Architect: n=73, 95% agree, 1% disagree | Other: n=60, 90% agree, 5% disagree | Engineering manager: n=41, 95% agree, 5% disagree | Researcher: n=37, 95% agree, 5% disagree | Consultant: n=33, 88% agree, 9% disagree | (not recorded): n=1, 100% agree, 0% disagree",58
