# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
claim_id,survey_text,group_1_label,group_1_n,group_1_median,group_1_idk,group_2_label,group_2_n,group_2_median,group_2_idk,mannwhitney_u,mannwhitney_p_raw,mannwhitney_p_corrected,significant_after_correction,effect_size,effect_magnitude,favourable_pairs,unfavourable_pairs,tied_pairs,tested,not_tested_reason,correction,alpha,family_size
CLM-000085,Improving quality assurance can be a simple process based on common sense and a straightforward logical approach to fulfilling software engineering responsibilities.,Under 10 years,129,4.0,24,10+ years,525,3.0,73,37292.5,0.059050629072350966,0.22711780412442678,False,,,,,,True,,fdr_bh,0.05,50
CLM-000459,"Testing on its own, without pretest defect removal, is expensive and rarely exceeds 85 percent in defect removal efficiency.",Under 10 years,64,3.0,89,10+ years,336,3.0,262,11027.0,0.7341888296322874,0.9177360370403592,False,,,,,,True,,fdr_bh,0.05,50
CLM-000100,Testing tools that link requirements to test cases typically do so by connecting requirement IDs with test IDs.,Under 10 years,53,3.0,100,10+ years,298,4.0,300,8059.5,0.7978981040406381,0.9264610060862619,False,,,,,,True,,fdr_bh,0.05,50
CLM-000147,"Drawing a diagram of linked, sequentially timed events and their causal relationships helps demonstrate how an incident occurred.",Under 10 years,142,4.0,11,10+ years,568,4.0,30,43983.0,0.050395585804289995,0.22711780412442678,False,,,,,,True,,fdr_bh,0.05,50
CLM-000115,Organizations that sell software often want to limit the use of specific free and open source software (FOSS) licenses in their environment.,Under 10 years,131,3.0,22,10+ years,514,3.0,84,34099.0,0.8152856853559105,0.9264610060862619,False,,,,,,True,,fdr_bh,0.05,50
CLM-000224,"A domain analysis should describe how the current application works, including any existing software used to support it.",Under 10 years,97,4.0,56,10+ years,383,4.0,215,20164.5,0.12019424672223977,0.30048561680559943,False,,,,,,True,,fdr_bh,0.05,50
CLM-000470,"After initial development, software applications continue to grow in size by roughly 8 percent per year.",Under 10 years,98,3.0,55,10+ years,402,3.0,196,20234.0,0.6465077463106301,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000015,"Software or code inspection should not be confused with code review or walkthrough, which is typically completed in a single meeting lasting a couple of hours.",Under 10 years,101,4.0,52,10+ years,416,3.0,182,21540.0,0.6796726676511122,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000223,Coding standards should not be adopted partway through a project.,Under 10 years,147,2.0,6,10+ years,583,2.0,15,43685.5,0.7010627489066048,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000045,Quality Assurance activities ensure that software products and processes meet defined quality standards.,Under 10 years,143,4.0,10,10+ years,565,4.0,33,45437.5,0.012149424105419549,0.08678160075299676,False,,,,,,True,,fdr_bh,0.05,50
CLM-000087,Making discipline a habit helps software team members meet the knowledge and skill expectations set by management.,Under 10 years,110,4.0,43,10+ years,456,4.0,142,27604.0,0.08343410757365562,0.23176140992682118,False,,,,,,True,,fdr_bh,0.05,50
CLM-000178,"Cost per defect increases as software quality improves, which contradicts the assumptions behind standard economic measures of quality.",Under 10 years,98,3.0,55,10+ years,421,3.0,177,21910.0,0.3195223015319679,0.5917079657999406,False,,,,,,True,,fdr_bh,0.05,50
CLM-000269,Functions that restrict a value to a fixed set of valid options should be tested with both valid and invalid inputs to confirm the restriction works.,Under 10 years,147,5.0,6,10+ years,580,5.0,18,44874.0,0.25877800275396745,0.5391208390707656,False,,,,,,True,,fdr_bh,0.05,50
CLM-000238,"Only about 20 percent of design code is typically reused in practice, well below an ideal reuse rate of around 75 percent.",Under 10 years,89,3.0,64,10+ years,337,3.0,261,15130.0,0.8923420322493004,0.9699369915753265,False,,,,,,True,,fdr_bh,0.05,50
CLM-000361,Production rate is often paired with assignment scope to produce software cost and schedule estimates for specific activities.,Under 10 years,57,4.0,96,10+ years,228,3.0,370,7121.5,0.22758067922227965,0.49474060700495576,False,,,,,,True,,fdr_bh,0.05,50
CLM-000450,"Bad-fix injection rates, defects introduced while fixing other defects, are often higher than 20 percent when modifying high-complexity applications.",Under 10 years,121,4.0,32,10+ years,467,4.0,131,28927.5,0.6636958085190672,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000142,Using automated testing frameworks integrated into a CI/CD pipeline enables efficient and reliable test execution on every code commit.,Under 10 years,143,4.0,10,10+ years,576,4.0,22,43353.0,0.28964039643585715,0.560418486907191,False,,,,,,True,,fdr_bh,0.05,50
CLM-000496,"Large software projects are frequently canceled, and most run late and exceed their budgets.",Under 10 years,130,4.0,23,10+ years,524,4.0,74,33184.0,0.6247661814512496,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000169,Trustworthiness is always a key factor in software usability and durability.,Under 10 years,138,4.0,15,10+ years,509,4.0,89,39104.0,0.02527712559551068,0.1379433581746352,False,,,,,,True,,fdr_bh,0.05,50
CLM-000036,About 95 percent of the API endpoints used in data science work are GET and POST requests.,Under 10 years,98,4.0,55,10+ years,366,4.0,232,20935.0,0.006256243820692384,0.05213536517243653,False,,,,,,True,,fdr_bh,0.05,50
CLM-000210,Leaving hooks in code for possible future use leads to testing anomalies and possible unreachable code.,Under 10 years,129,4.0,24,10+ years,552,4.0,46,35800.5,0.9171395281594705,0.9728491033484499,False,,,,,,True,,fdr_bh,0.05,50
CLM-000581,Software applications must meet durability criteria to be successful.,Under 10 years,133,3.0,20,10+ years,536,3.0,62,39321.0,0.055653525235721375,0.22711780412442678,False,,,,,,True,,fdr_bh,0.05,50
CLM-000242,"It is technically possible to build some software applications from standard, reusable components.",Under 10 years,149,4.0,4,10+ years,575,4.0,23,46397.0,0.0704904430532329,0.22829586107873603,False,,,,,,True,,fdr_bh,0.05,50
CLM-000199,Licensing issues need to be well understood and managed when using open source software in an end product.,Under 10 years,149,4.0,4,10+ years,589,4.0,9,43809.0,0.9728491033484499,0.9728491033484499,False,,,,,,True,,fdr_bh,0.05,50
CLM-000007,The rise of platform as a service (PaaS) hosting may reduce or eliminate the need for a professional developer to be involved in deployment.,Under 10 years,140,2.0,13,10+ years,554,2.0,44,38257.5,0.7930999072598826,0.9264610060862619,False,,,,,,True,,fdr_bh,0.05,50
CLM-000486,"As software quality improves, cost per defect rises sharply.",Under 10 years,112,3.0,41,10+ years,452,3.0,146,27929.0,0.07762059276677026,0.22829586107873603,False,,,,,,True,,fdr_bh,0.05,50
CLM-000109,Product owners and Scrum masters should plan for and allocate time and budget to ensure security and resilience constraints are included in design work.,Under 10 years,140,4.0,13,10+ years,556,4.0,42,39643.5,0.7004311122309623,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000190,Defects should be prevented from occurring in the first place.,Under 10 years,148,4.0,5,10+ years,562,4.0,36,45236.5,0.07504922984922782,0.22829586107873603,False,,,,,,True,,fdr_bh,0.05,50
CLM-000374,Defect removal efficiency ranges from as high as 99.65 percent to as low as under 77 percent.,Under 10 years,60,3.0,93,10+ years,206,3.0,392,6514.0,0.4950797822520633,0.7985157778259085,False,,,,,,True,,fdr_bh,0.05,50
CLM-000122,"Teams should select only the metrics most relevant to their own product and market, rather than industry-wide standard metrics, and automate them to make adoption easier under time constraints.",Under 10 years,120,4.0,33,10+ years,492,3.0,106,30815.0,0.43291106897030984,0.7434023547573592,False,,,,,,True,,fdr_bh,0.05,50
CLM-000097,Teams should ask for help resolving difficult problems and respond to issues quickly.,Under 10 years,149,4.0,4,10+ years,565,4.0,33,40459.5,0.4013530914052198,0.7167019489378924,False,,,,,,True,,fdr_bh,0.05,50
CLM-000201,Defects should be resolved before exiting the current development phase or releasing to production.,Under 10 years,148,4.0,5,10+ years,579,4.0,19,50050.0,0.0007891030078938534,0.019727575197346334,True,0.1681,small,36185.0,21777.0,27730.0,True,,fdr_bh,0.05,50
CLM-000180,"Security, privacy, and durability solutions must be continually developed to remain effective.",Under 10 years,150,4.0,3,10+ years,569,4.0,29,43674.0,0.6191382352224546,0.8987983960341087,False,,,,,,True,,fdr_bh,0.05,50
CLM-000502,Testers should ensure that code changes do not introduce new flaws into existing functionality.,Under 10 years,152,5.0,1,10+ years,584,4.0,14,50246.5,0.005244738815328485,0.05213536517243653,False,,,,,,True,,fdr_bh,0.05,50
CLM-000129,A dedicated discussion forum allows team members to discuss project-related questions and suggestions separately from personal email.,Under 10 years,142,4.0,11,10+ years,544,4.0,54,41683.0,0.10117240453519558,0.26624316982946206,False,,,,,,True,,fdr_bh,0.05,50
CLM-000032,Security awareness enables smoother engagement in software security education and sustained involvement in application security activities throughout the year.,Under 10 years,123,4.0,30,10+ years,494,4.0,104,33100.5,0.06556297361971217,0.22829586107873603,False,,,,,,True,,fdr_bh,0.05,50
