# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
scope,claim_id,variable,group,reason,n_valid
unassigned,CLM-000131,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000337,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000101,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000059,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000329,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000060,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000073,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000194,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000026,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000085,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000459,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
subgroup,CLM-000100,role,Researcher,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
unassigned,CLM-000100,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000147,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000115,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000224,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000470,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000015,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000223,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000045,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000087,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000178,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000269,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000238,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
subgroup,CLM-000361,role,Researcher,"only 6 valid (non-IDK) answers, below min_subgroup_size=10",6
unassigned,CLM-000361,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000450,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000142,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000496,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000169,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000036,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000210,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000581,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000242,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000199,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000007,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000486,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000109,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000190,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
subgroup,CLM-000374,role,Researcher,"only 7 valid (non-IDK) answers, below min_subgroup_size=10",7
unassigned,CLM-000374,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000122,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000097,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000201,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000180,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000502,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000129,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000032,role,(not recorded),"2 respondent(s) did not answer the optional 'role' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000062,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",3
unassigned,CLM-000179,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000028,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000204,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000086,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000131,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000337,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000101,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000059,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000329,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000060,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000073,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000194,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",3
unassigned,CLM-000026,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000085,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000459,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",3
unassigned,CLM-000100,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",3
unassigned,CLM-000147,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000115,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000224,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000470,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000015,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000223,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000045,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000087,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000178,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000269,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000238,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000361,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000450,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000142,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000496,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000169,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000036,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",3
unassigned,CLM-000210,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000581,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000242,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000199,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000007,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000486,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000109,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",6
unassigned,CLM-000190,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",3
unassigned,CLM-000374,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000122,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000097,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000201,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000180,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000502,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000129,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000032,team_size,(not recorded),"6 respondent(s) did not answer the optional 'team_size' question, so they belong to no subgroup and cannot enter this comparison",4
subgroup,CLM-000062,industry,Gaming,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
unassigned,CLM-000062,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000179,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000028,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000204,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000086,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000131,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000337,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000101,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000059,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000329,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000060,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000073,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
subgroup,CLM-000194,industry,Gaming,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
unassigned,CLM-000194,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000026,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000085,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000459,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
subgroup,CLM-000100,industry,Gaming,"only 6 valid (non-IDK) answers, below min_subgroup_size=10",6
unassigned,CLM-000100,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000147,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000115,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
subgroup,CLM-000224,industry,Gaming,"only 9 valid (non-IDK) answers, below min_subgroup_size=10",9
unassigned,CLM-000224,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000470,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000015,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000223,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000045,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
subgroup,CLM-000087,industry,Gaming,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
unassigned,CLM-000087,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
subgroup,CLM-000178,industry,Gaming,"only 9 valid (non-IDK) answers, below min_subgroup_size=10",9
unassigned,CLM-000178,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000269,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000238,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
subgroup,CLM-000361,industry,Gaming,"only 9 valid (non-IDK) answers, below min_subgroup_size=10",9
subgroup,CLM-000361,industry,Telecom,"only 7 valid (non-IDK) answers, below min_subgroup_size=10",7
unassigned,CLM-000361,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000450,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000142,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000496,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000169,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
subgroup,CLM-000036,industry,Gaming,"only 9 valid (non-IDK) answers, below min_subgroup_size=10",9
unassigned,CLM-000036,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",0
unassigned,CLM-000210,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000581,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000242,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000199,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000007,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
subgroup,CLM-000486,industry,Gaming,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
unassigned,CLM-000486,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000109,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000190,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
subgroup,CLM-000374,industry,Gaming,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
subgroup,CLM-000374,industry,Healthcare,"only 6 valid (non-IDK) answers, below min_subgroup_size=10",6
subgroup,CLM-000374,industry,Telecom,"only 7 valid (non-IDK) answers, below min_subgroup_size=10",7
unassigned,CLM-000374,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",1
unassigned,CLM-000122,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000097,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000201,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000180,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000502,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000129,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
subgroup,CLM-000032,industry,Gaming,"only 8 valid (non-IDK) answers, below min_subgroup_size=10",8
unassigned,CLM-000032,industry,(not recorded),"2 respondent(s) did not answer the optional 'industry' question, so they belong to no subgroup and cannot enter this comparison",2
unassigned,CLM-000062,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",10
unassigned,CLM-000179,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",12
unassigned,CLM-000028,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",13
unassigned,CLM-000204,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",11
unassigned,CLM-000086,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",11
unassigned,CLM-000131,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",11
unassigned,CLM-000337,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",9
unassigned,CLM-000101,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",10
unassigned,CLM-000059,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",13
unassigned,CLM-000329,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",12
unassigned,CLM-000060,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",13
unassigned,CLM-000073,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",10
unassigned,CLM-000194,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000026,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",11
unassigned,CLM-000085,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",12
unassigned,CLM-000459,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",4
unassigned,CLM-000100,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",5
unassigned,CLM-000147,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",12
unassigned,CLM-000115,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",10
unassigned,CLM-000224,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",8
unassigned,CLM-000470,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",7
unassigned,CLM-000015,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",8
unassigned,CLM-000223,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",13
unassigned,CLM-000045,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",11
unassigned,CLM-000087,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",12
unassigned,CLM-000178,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",8
unassigned,CLM-000269,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",13
unassigned,CLM-000238,company_size,(not recorded),"13 respondent(s) did not answer the optional 'company_size' question, so they belong to no subgroup and cannot enter this comparison",7
